2018/05/08 16:51:52.922 [N] [configz.go:106] the config file has bee modify, we reloaded the config file success
2018/05/08 16:51:52.923 [N] [configz.go:106] the config file has bee modify, we reloaded the config file success
2018/05/08 16:51:54.005 [N] [configz.go:106] the config file has bee modify, we reloaded the config file success
2018/05/08 16:54:47.544 [N] [configz.go:107] the config file has bee modify, we reloaded the config file success
2018/05/08 16:54:47.545 [N] [configz.go:107] the config file has bee modify, we reloaded the config file success
2018/05/08 16:54:48.603 [N] [configz.go:107] the config file has bee modify, we reloaded the config file success
2018/05/08 17:04:49.346 [N] [configz.go:107] the config file has bee modify, we reloaded the config file success
2018/05/08 17:04:49.346 [N] [configz.go:107] the config file has bee modify, we reloaded the config file success
2018/05/08 17:04:50.523 [N] [configz.go:107] the config file has bee modify, we reloaded the config file success
2018/05/08 17:08:31.035 [N] [configz.go:107] the config file has bee modify, we reloaded the config file success
2018/05/08 17:08:54.580 [N] [configz.go:107] the config file has bee modify, we reloaded the config file success
2018/05/08 17:08:54.580 [N] [configz.go:107] the config file has bee modify, we reloaded the config file success
2018/05/08 17:08:56.225 [N] [configz.go:107] the config file has bee modify, we reloaded the config file success
2018/05/08 17:10:00.305 [N] [configz.go:108] the config file has bee modify, we reloaded the config file success
2018/05/08 17:10:00.319 [N] [configz.go:108] the config file has bee modify, we reloaded the config file success
2018/05/08 17:10:01.773 [N] [configz.go:108] the config file has bee modify, we reloaded the config file success
2018/05/08 17:14:14.672 [N] [configz.go:106] the config /Users/admin/workspace/dev/go/src/ipaas/conf/app.conf file has bee modify, we reloaded the config file success
2018/05/08 17:14:14.685 [N] [configz.go:106] the config /Users/admin/workspace/dev/go/src/ipaas/conf/app.conf file has bee modify, we reloaded the config file success
2018/05/08 17:14:15.715 [N] [configz.go:106] the config /Users/admin/workspace/dev/go/src/ipaas/conf/app.conf file has bee modify, we reloaded the config file success
2018/05/08 17:29:50.347 [N] [configz.go:106] the config /Users/admin/workspace/dev/go/src/ipaas/conf/app.conf file has bee modify, we reloaded the config file success
2018/05/08 17:29:51.582 [N] [configz.go:106] the config /Users/admin/workspace/dev/go/src/ipaas/conf/app.conf file has bee modify, we reloaded the config file success
2018/05/08 17:33:18.029 [N] [configz.go:112] the config /Users/admin/workspace/dev/go/src/ipaas/conf/app.conf file has bee modify, we reloaded the config file success
2018/05/08 17:34:07.526 [N] [configz.go:112] the config /Users/admin/workspace/dev/go/src/ipaas/conf/app.conf file has bee modify, we reloaded the config file success
